assignment_id,incident_id,vehicle_plate,driver_id,course_id,course_title_ru,assigned_at,due_at,test_score,passed,completed_at,repeat_within_30d
TA-56afc372-b79a-45b5-9207-1b8dd08e5b81,56afc372-b79a-45b5-9207-1b8dd08e5b81,Т266АК977,DRV-6846,C-RULES,Регламент и оборудование,2026-05-14T21:14:27Z,2026-05-17T21:14:27Z,13,false,2026-05-16T08:14:27Z,false
TA-5eed0000-0000-4000-8000-000000000005,5eed0000-0000-4000-8000-000000000005,Р680МА196,DRV-3943,C-RULES,Регламент и оборудование,2026-05-14T00:00:01Z,2026-05-17T00:00:01Z,16,false,2026-05-14T20:00:01Z,true
TA-661adc32-0b32-490b-836e-6b1f0da537cf,661adc32-0b32-490b-836e-6b1f0da537cf,У126ТК124,DRV-6712,C-FATIGUE,Контроль усталости,2026-05-18T21:49:14Z,2026-05-21T21:49:14Z,18,true,2026-05-19T10:49:14Z,true
TA-69050c45-57a5-4b8c-be5a-54454372e1e3,69050c45-57a5-4b8c-be5a-54454372e1e3,В224ВВ125,DRV-4766,C-BASE,Базовый курс безопасности,2026-05-14T21:15:44Z,2026-05-17T21:15:44Z,19,true,2026-05-14T23:15:44Z,false
TA-6e0414ee-ac4c-4278-a129-afbc076aa99a,6e0414ee-ac4c-4278-a129-afbc076aa99a,У126ТК124,DRV-6712,C-FATIGUE,Контроль усталости,2026-05-18T21:46:26Z,2026-05-21T21:46:26Z,8,false,,true
TA-6f4471aa-fd1b-4329-874b-461f03900242,6f4471aa-fd1b-4329-874b-461f03900242,М482АТ156,DRV-1545,C-BASE,Базовый курс безопасности,2026-05-14T23:47:01Z,2026-05-17T23:47:01Z,15,false,2026-05-15T09:47:01Z,false
TA-6f7ba1fa-dbe7-4096-bb1d-1b01bf7b5eb0,6f7ba1fa-dbe7-4096-bb1d-1b01bf7b5eb0,Т266АК977,DRV-6846,C-BASE,Базовый курс безопасности,2026-05-14T20:48:34Z,2026-05-17T20:48:34Z,3,false,,false
TA-725866bd-9c81-45ec-a06f-bdf08df3a79d,725866bd-9c81-45ec-a06f-bdf08df3a79d,К279ХМ154,DRV-6634,C-FATIGUE,Контроль усталости,2026-05-18T21:41:57Z,2026-05-21T21:41:57Z,11,false,2026-05-20T15:41:57Z,true
TA-7b8f3a75-9fe0-4b2b-a374-bc74e30f50c3,7b8f3a75-9fe0-4b2b-a374-bc74e30f50c3,A079AM250,DRV-4459,C-BASE,Базовый курс безопасности,2026-05-14T23:04:41Z,2026-05-17T23:04:41Z,4,false,,false
TA-7dc1110a-8f27-4cac-9d68-b6b602f346ca,7dc1110a-8f27-4cac-9d68-b6b602f346ca,Т780РН198,DRV-5532,C-FOCUS,Концентрация и отвлечения,2026-05-14T20:42:21Z,2026-05-17T20:42:21Z,7,false,,false
TA-812df409-161d-4c62-a07b-109361709897,812df409-161d-4c62-a07b-109361709897,С737СЕ198,DRV-9163,C-SMOOTH,Плавное вождение,2026-05-14T18:51:45Z,2026-05-17T18:51:45Z,11,false,2026-05-15T18:51:45Z,false
TA-9cf96b29-9309-4bf4-9c4f-fdf847e196f6,9cf96b29-9309-4bf4-9c4f-fdf847e196f6,Т780РН198,DRV-5532,C-SMOOTH,Плавное вождение,2026-05-14T20:41:41Z,2026-05-17T20:41:41Z,7,false,,false
TA-9fe2f146-bc90-4ebf-a7e2-e61ebb951caa,9fe2f146-bc90-4ebf-a7e2-e61ebb951caa,У444УА54,DRV-3518,C-FATIGUE,Контроль усталости,2026-05-18T21:25:38Z,2026-05-21T21:25:38Z,14,false,2026-05-19T15:25:38Z,false
TA-a9e4a086-c515-4a63-8722-55f6f04fcf81,a9e4a086-c515-4a63-8722-55f6f04fcf81,С725АТ159,DRV-1303,C-FOCUS,Концентрация и отвлечения,2026-05-14T23:40:29Z,2026-05-17T23:40:29Z,9,false,,false
TA-b569370b-2c25-410b-b6df-b1f13d81bf84,b569370b-2c25-410b-b6df-b1f13d81bf84,О802УЕ198,DRV-6262,C-SMOOTH,Плавное вождение,2026-05-14T22:39:57Z,2026-05-17T22:39:57Z,19,true,2026-05-16T03:39:57Z,false
TA-b855d68a-fb90-4b80-b7ed-16616fee9b9f,b855d68a-fb90-4b80-b7ed-16616fee9b9f,С725АТ159,DRV-1303,C-FATIGUE,Контроль усталости,2026-05-14T23:22:37Z,2026-05-17T23:22:37Z,4,false,,false
TA-ba9fb320-7c41-4927-bd38-5b13becd6132,ba9fb320-7c41-4927-bd38-5b13becd6132,М083ОУ124,DRV-2211,C-RULES,Регламент и оборудование,2026-05-14T19:15:47Z,2026-05-17T19:15:47Z,18,true,2026-05-15T23:15:47Z,false
TA-bde0d4a2-7c10-423d-84de-60004aa50424,bde0d4a2-7c10-423d-84de-60004aa50424,С643УР799,DRV-8218,C-BASE,Базовый курс безопасности,2026-05-18T23:43:46Z,2026-05-21T23:43:46Z,13,false,2026-05-20T01:43:46Z,true
TA-bf9206f7-2c08-463c-98b4-53063acd50bd,bf9206f7-2c08-463c-98b4-53063acd50bd,К524ВР977,DRV-5361,C-BASE,Базовый курс безопасности,2026-05-18T21:45:15Z,2026-05-21T21:45:15Z,0,false,,true
TA-c9d7216b-0959-495b-ba1e-8ee32d6d4cc7,c9d7216b-0959-495b-ba1e-8ee32d6d4cc7,A079AM250,DRV-4459,C-BASE,Базовый курс безопасности,2026-05-14T18:50:08Z,2026-05-17T18:50:08Z,15,false,2026-05-14T19:50:08Z,false
TA-c9d92123-62f0-4237-9150-a57624b10b93,c9d92123-62f0-4237-9150-a57624b10b93,С643УР799,DRV-8218,C-BASE,Базовый курс безопасности,2026-05-18T23:59:41Z,2026-05-21T23:59:41Z,5,false,,true
TA-cf91b784-1798-4008-8acd-760eb8d365e7,cf91b784-1798-4008-8acd-760eb8d365e7,С806УА797,DRV-1159,C-FATIGUE,Контроль усталости,2026-05-14T22:37:51Z,2026-05-17T22:37:51Z,3,false,,false
TA-cfc131e6-dc1f-4809-9b97-60b5b972b1ce,cfc131e6-dc1f-4809-9b97-60b5b972b1ce,Т266АК977,DRV-6846,C-SMOOTH,Плавное вождение,2026-05-14T19:31:32Z,2026-05-17T19:31:32Z,6,false,,false
TA-d2379587-3189-4903-916e-8352459c03f1,d2379587-3189-4903-916e-8352459c03f1,К524ВР977,DRV-5361,C-BASE,Базовый курс безопасности,2026-05-18T21:46:16Z,2026-05-21T21:46:16Z,2,false,,true
TA-d7765ece-003f-438d-b049-85351219180a,d7765ece-003f-438d-b049-85351219180a,К776ВС977,DRV-2011,C-BASE,Базовый курс безопасности,2026-05-18T23:56:00Z,2026-05-21T23:56:00Z,4,false,,true
TA-dc1f8142-055c-4e4f-84e9-56020c16a753,dc1f8142-055c-4e4f-84e9-56020c16a753,M477YM790,DRV-8145,C-FATIGUE,Контроль усталости,2026-05-18T21:30:55Z,2026-05-21T21:30:55Z,16,false,2026-05-19T11:30:55Z,true
TA-e51a3984-2706-4972-b850-d424435dcd11,e51a3984-2706-4972-b850-d424435dcd11,М083ОУ124,DRV-2211,C-BASE,Базовый курс безопасности,2026-05-14T19:11:38Z,2026-05-17T19:11:38Z,19,true,2026-05-16T12:11:38Z,false
TA-e61bb6ff-ea0b-49ae-a11d-27b58519b9e9,e61bb6ff-ea0b-49ae-a11d-27b58519b9e9,К279ХМ154,DRV-6634,C-FATIGUE,Контроль усталости,2026-05-18T21:40:42Z,2026-05-21T21:40:42Z,19,true,2026-05-20T02:40:42Z,true
TA-e7652db8-5f43-41de-a26b-6f4ad25fc476,e7652db8-5f43-41de-a26b-6f4ad25fc476,М482АТ156,DRV-1545,C-RULES,Регламент и оборудование,2026-05-14T23:57:17Z,2026-05-17T23:57:17Z,17,false,2026-05-15T02:57:17Z,false
TA-ea559499-85da-46f3-8990-f9bd43ee96ac,ea559499-85da-46f3-8990-f9bd43ee96ac,М083ОУ124,DRV-2211,C-FOCUS,Концентрация и отвлечения,2026-05-14T19:18:07Z,2026-05-17T19:18:07Z,20,true,2026-05-15T16:18:07Z,false
TA-ee809241-e908-4c1a-ac5d-58f6b1da36be,ee809241-e908-4c1a-ac5d-58f6b1da36be,Р680МА196,DRV-3943,C-BASE,Базовый курс безопасности,2026-05-14T22:08:34Z,2026-05-17T22:08:34Z,6,false,,false
TA-f0d04637-7cb1-43f4-a861-9096b78f9a5a,f0d04637-7cb1-43f4-a861-9096b78f9a5a,К524ВР977,DRV-5361,C-BASE,Базовый курс безопасности,2026-05-18T21:45:54Z,2026-05-21T21:45:54Z,0,false,,true
TA-f7e5afe2-5257-4edf-86cc-2c5648c84e5b,f7e5afe2-5257-4edf-86cc-2c5648c84e5b,М078ОО154,DRV-7679,C-FATIGUE,Контроль усталости,2026-05-18T23:56:21Z,2026-05-21T23:56:21Z,9,false,,false
TA-fa338699-3b21-4a41-a384-4b0fdf7f23d0,fa338699-3b21-4a41-a384-4b0fdf7f23d0,Р680МА196,DRV-3943,C-RULES,Регламент и оборудование,2026-05-14T22:18:43Z,2026-05-17T22:18:43Z,6,false,,true
TA-faa082b1-d234-4c17-b12f-95e16335b1cf,faa082b1-d234-4c17-b12f-95e16335b1cf,К776ВС977,DRV-2011,C-BASE,Базовый курс безопасности,2026-05-18T23:57:05Z,2026-05-21T23:57:05Z,2,false,,true
